10000,10050,39,1,"Film & Video",40.4198,-79.8501
999,1205,17,2,"Music",42.3584,-71.0598
600,1000,7,0,"Art",35.9606,-83.9207
2000,2240,29,1,"Theater",40.7143,-74.006
10000,13842.11,89,6,"Film & Video",29.3881,-90.4827
2000,2145,37,7,"Fashion",32.7153,-117.157
575,666.69,21,9,"Art",44.9429,-123.035
5000,7175,61,1,"Film & Video",37.7749,-122.419
1500,172,7,0,"Games",42.0984,-76.0494
100000,270,6,0,"Film & Video",34.0522,-118.244
260,992,19,2,"Design",34.2073,-84.1402
30000,51548,667,111,"Games",25.4687,-80.4776
3000,25,1,0,"Food",38.7521,-121.288
10000,8865,96,3,"Music",33.767,-118.189
700,300,9,0,"Music",33.9172,-118.012
8000,8435,59,0,"Film & Video",34.0522,-118.244
3500,1925,18,0,"Film & Video",34.1511,-118.448
7500,250,1,0,"Film & Video",34.0522,-118.244
475,676,9,0,"Film & Video",36.3302,-119.292
70000,73062,1231,145,"Design",28.0836,-80.6081
3500,12464.21,332,13,"Food",40.5205,-75.7715
500,500,21,0,"Music",36.1659,-86.7844
2750,0,0,0,"Art",47.6062,-122.332
1000,1634,40,3,"Publishing",39.9523,-75.1638
1000,20,2,0,"Theater",55.8656,-4.25722
5600,6000.99,72,8,"Film & Video",34.09,-118.362
3000,3259,74,10,"Publishing",37.8044,-122.271
25000,291,15,0,"Music",40.7143,-74.006
5000,5585,95,3,"Music",42.3584,-71.0598
3000,130,3,0,"Publishing",41.8084,-72.2495
9500,1191,54,19,"Games",46.8721,-113.994
1111.99,1247,39,1,"Publishing",41.8995,-87.9403
5500,6424,78,0,"Fashion",40.65,-73.95
3000,3050,16,0,"Film & Video",37.7749,-122.419
3000,7074.05,305,5,"Publishing",33.6411,-117.919
11000,11741,130,0,"Film & Video",16.5139,-88.3667
600,2202.42,106,19,"Film & Video",32.803,-96.7699
3500,0,0,0,"Publishing",33.9792,-118.033
2000,2011,21,2,"Art",37.7749,-122.419
25000,25837,154,5,"Film & Video",43.1548,-77.6156
5000,5526,74,5,"Film & Video",52.3738,4.89093
2000,2425,48,6,"Theater",52.3738,4.89093
1500,1650,24,2,"Film & Video",52.3738,4.89093
1500,1548,36,39,"Film & Video",32.803,-96.7699
500,560,22,1,"Art",29.9647,-90.0706
3000,4440,44,2,"Dance",40.7143,-74.006
2800,3366,86,8,"Art",52.3738,4.89093
1200,1275,40,1,"Music",30.2672,-97.7431
950,2012,29,1,"Dance",40.7143,-74.006
2500,2505,36,2,"Theater",40.65,-73.95
10000,23996.07,442,53,"Music",38.9717,-95.2353
150000,8996.01,404,102,"Games",51.5586,-0.197855
7000,24299,698,79,"Games",40.7608,-111.891
16000,688,146,4,"Design",48.8465,-122.591
12500,1191,73,25,"Games",47.6062,-122.332
4000,807,72,19,"Games",33.4484,-112.074
400,2173.02,272,11,"Technology",37.7749,-122.419
18000,7383,96,0,"Film & Video",34.0522,-118.244
20000,11325.05,241,4,"Comics",37.2296,-80.4139
20000,13231,73,5,"Film & Video",34.0522,-118.244
12000,12010,198,9,"Food",42.2709,-83.7263
1100,3221,164,19,"Games",35.2271,-80.8431
15000,12919,190,0,"Music",34.0522,-118.244
4000,4965,106,2,"Art",37.2707,-76.7075
5000,6603,71,0,"Fashion",39.2904,-76.6122
40000,5,1,0,"Games",52.4538,-1.74809
7500,2744,32,0,"Dance",13.0604,80.2496
12000,3547,49,4,"Publishing",41.85,-87.6501
7000,5300,41,0,"Publishing",30.3322,-81.6556
2000,0,0,0,"Art",38.647,-90.225
6000,378,9,1,"Comics",37.4304,-83.998
30000,765,15,0,"Publishing",38.6773,-87.5286
635,2204,40,8,"Games",43.9276,-69.9759
1000,195,8,0,"Publishing",39.9523,-75.1638
3000,5352,72,4,"Music",30.2672,-97.7431
550,860,33,8,"Music",34.0522,-118.244
2500,3453.45,28,2,"Film & Video",39.0997,-94.5786
3000,3325,37,0,"Publishing",47.6062,-122.332
12000,12197,114,0,"Theater",40.7143,-74.006
12300,12401,35,18,"Games",34.0522,-118.244
8000,9207.99,148,49,"Comics",40.7608,-111.891
8800,10610,187,8,"Art",20.9175,-156.326
8000,10591,247,2,"Publishing",40.65,-73.95
2200,5265,116,8,"Comics",39.9523,-75.1638
2500,1240,22,0,"Design",42.6389,-83.291
10000,18769.77,166,5,"Publishing",32.2217,-110.926
3000,66,9,0,"Games",39.9523,-75.1638
2500,978,17,2,"Art",42.3584,-71.0598
3000,3454,66,4,"Technology",42.7284,-73.6918
5000,100,1,0,"Music",42.0051,-74.266
15000,856,19,0,"Publishing",33.1626,-96.9375
27500,19280.5,284,10,"Technology",-36.8485,174.763
2900,5070,85,0,"Publishing",34.0522,-118.244
30000,9296,43,1,"Music",38.9667,-94.6169
48000,3446,59,6,"Games",40.7454,-73.9054
75000,11818,199,5,"Film & Video",40.65,-73.95
3200,844,26,0,"Music",34.0522,-118.244
12000,12624,169,10,"Publishing",42.4668,-70.9495
187545,11343,184,7,"Design",30.2672,-97.7431
4500,2587,64,60,"Comics",39.0997,-94.5786
6500,4900,93,0,"Publishing",35.9132,-79.0558
4000,3566,61,5,"Technology",40.2338,-111.659
35000,16146.01,118,0,"Film & Video",34.0522,-118.244
40000,28230.74,1428,52,"Games",51.3814,-2.35745
20000,105947.94,2655,54,"Fashion",40.65,-73.95
23000,99047.05,2703,196,"Games",38.9284,-77.056
6000,8861,234,12,"Publishing",30.2672,-97.7431
100000,115275.45,2974,221,"Games",51.2772,-0.610235
3000,3635,180,17,"Games",40.5492,-82.8274
5000,270,8,3,"Film & Video",39.9523,-75.1638
500,0,0,0,"Dance",39.7392,-104.985
400000,268985.65,3966,212,"Film & Video",33.9908,-118.46
15000,29023.66,534,46,"Film & Video",48.7596,-122.488
5000,462,14,15,"Games",34.0522,-118.244
100,370,13,4,"Art",33.4484,-112.074
55000,6246,30,1,"Film & Video",47.6062,-122.332
4000,3322,52,0,"Publishing",40.65,-73.95
2500,2513,34,3,"Music",40.3162,-74.5138
3250,105099,757,4260,"Games",39.7684,-86.158
5000,5117,58,3,"Film & Video",25.3097,82.9886
5000,6600.01,40,14,"Design",38.9284,-77.056
15000,18361.89,126,2,"Film & Video",22.5726,88.3639
2500,2900,35,2,"Music",43.0731,-89.4012
1250,1375,16,4,"Film & Video",42.0411,-87.6901
1500,4077,74,36,"Comics",34.7541,-77.4302
30000,12583.94,160,2,"Film & Video",34.0522,-118.244
6200,1105,9,0,"Art",51.1781,-115.572
10000,0,0,0,"Film & Video",12.9716,77.5944
1000,30,2,0,"Publishing",39.7458,-75.5467
10000,22113.83,336,39,"Games",47.6062,-122.332
2000,1140,43,1,"Music",48.7596,-122.488
2000,3257,38,1,"Music",47.6062,-122.332
25000,6555,84,4,"Film & Video",40.65,-73.95
85000,380015,2108,750,"Games",40.5159,-75.5552
3000,1082,44,0,"Art",29.9647,-90.0706
10000,914.14,22,0,"Music",30.2672,-97.7431
7500,7512,55,2,"Film & Video",34.0522,-118.244
7700,3451,36,1,"Fashion",42.3584,-71.0598
1000,855,17,0,"Music",32.2217,-110.926
589,454,14,0,"Publishing",33.4484,-112.074
3000,18793,545,108,"Games",37.56,126.986
6000,3661,124,11,"Design",37.7749,-122.419
3000,2015,31,0,"Theater",38.9284,-77.056
15000,7741.89,174,0,"Music",40.2338,-111.659
2900,150,2,0,"Theater",39.2904,-76.6122
35000,3236,8,0,"Design",41.605,-72.8792
1500,681,13,0,"Film & Video",32.7153,-117.157
6000,1675,31,0,"Music",39.0997,-94.5786
23500,810,9,0,"Publishing",34.0522,-118.244
24000,8427,109,36,"Technology",32.803,-96.7699
8500,10342,136,18,"Film & Video",35.9132,-79.0558
15000,15160,118,3,"Music",32.803,-96.7699
20000,20450,114,1,"Film & Video",39.4022,-107.211
10000,11077.35,98,1,"Music",40.7143,-74.006
11000,70,3,0,"Film & Video",29.9647,-90.0706
5000,50,2,0,"Publishing",41.0814,-81.519
5000,5670.01,192,16,"Music",41.1578,-80.0887
6000,52152,182,55,"Fashion",26.142,-81.7948
9500,557,3,0,"Publishing",37.8869,-122.298
5000,5490,75,0,"Music",38.7907,-121.236
1200,1230,33,0,"Music",40.3101,-75.1299
1700,1885.01,45,4,"Film & Video",47.6062,-122.332
2500,2827,58,7,"Fashion",39.7392,-104.985
25000,40165.39,817,85,"Music",21.3069,-157.858
25000,9460.33,139,6,"Art",37.8044,-122.271
4000,5,1,0,"Music",40.8501,-73.8662
2000,248,11,0,"Film & Video",47.6062,-122.332
25000,110,3,0,"Comics",40.7987,-74.239
15000,9014,295,99,"Games",25.7743,-80.1937
9000,2222.66,67,0,"Comics",30.6944,-88.0431
30000,10303,60,82,"Games",25.7743,-80.1937
380,442,16,0,"Design",42.3501,-71.1564
7000,1281,37,2,"Publishing",30.2672,-97.7431
40000,44851,211,12,"Film & Video",40.5123,-74.8593
2500,2435.52,41,0,"Photography",29.4241,-98.4936
3210,2196,46,0,"Music",14.0821,-87.2063
2000,1916,30,0,"Film & Video",43.0731,-89.4012
15000,1150,20,17,"Design",44.4759,-73.2121
6000,6280,21,0,"Dance",5.33632,-4.02775
1000,35038,509,429,"Games",30.2672,-97.7431
2000,2025,34,1,"Film & Video",35.2271,-80.8431
18000,2516.66,69,0,"Technology",47.674,-122.122
300,427,9,1,"Art",41.0405,-73.7145
2750,3230,53,4,"Music",42.2411,-83.613
8000,0,0,0,"Publishing",39.4195,-76.7803
18000,0,0,0,"Publishing",57.5115,-3.24838
2000,2130,38,0,"Film & Video",40.7143,-74.006
9999,10197.07,139,0,"Music",41.85,-87.6501
3000,3016,51,0,"Music",43.1979,-70.8737
1200,2095,47,2,"Film & Video",40.7143,-74.006
1000,1057,7,0,"Film & Video",39.1361,-84.5031
10000,19636,514,13,"Design",37.7749,-122.419
18000,1566.23,22,0,"Film & Video",47.6062,-122.332
13000,4620,48,1,"Fashion",39.7392,-104.985
3450,192,6,1,"Comics",27.9494,-82.4651
3750,315,11,0,"Photography",26.8234,-80.1387
50000,8271,76,1,"Design",25.7743,-80.1937
3000,2025,18,0,"Music",43.0125,-83.6875
2500,2738,57,4,"Art",39.3292,-82.1013
2000,2212,53,0,"Dance",44.4759,-73.2121
2600,2610,43,0,"Art",38.9284,-77.056
4500,5206,46,10,"Games",39.7684,-86.158
18000,21186,293,114,"Games",29.7629,-95.3831
500,754.99,15,0,"Film & Video",25.7743,-80.1937
175,950.01,30,0,"Comics",37.7749,-122.419
8000,8734.63,174,23,"Fashion",38.647,-90.225
125,186,9,1,"Comics",37.8044,-122.271
5000,5511.77,103,10,"Film & Video",34.0522,-118.244
2500,2645,42,3,"Art",40.7143,-74.006
3000,3154,44,7,"Music",-8.40118,114.78
6000,11188,367,154,"Games",29.7629,-95.3831
3095,4306,169,2,"Comics",39.8268,-75.0154
6000,2140,15,0,"Film & Video",42.737,-84.4839
2000,10,1,0,"Film & Video",41.7476,-74.0868
25000,27354,320,5,"Film & Video",40.65,-73.95
35000,30,2,0,"Film & Video",34.0522,-118.244
8500,0,0,0,"Music",28.5383,-81.3792
62000,445,6,0,"Fashion",36.1146,-115.173
5000,6050,100,5,"Music",36.1659,-86.7844
2500,2688,47,0,"Music",43.6954,-116.354
6000,10143,205,4,"Theater",45.5235,-122.676
12000,13000,104,1,"Theater",40.7143,-74.006
45000,0,0,0,"Film & Video",33.767,-118.189
3000,80,5,0,"Art",34.0522,-118.244
100,105,4,0,"Music",27.9494,-82.4651
50000,576,18,0,"Technology",34.0522,-118.244
6000,546,23,0,"Food",46.7867,-92.1005
2500,2630,41,3,"Film & Video",45.5235,-122.676
2500,2851,80,1,"Art",42.3584,-71.0598
3500,3695,66,0,"Food",40.4198,-79.8501
7000,10221,153,13,"Food",43.0731,-89.4012
14000,1221,7,0,"Film & Video",34.0522,-118.244
8750,8805,139,12,"Publishing",45.5235,-122.676
3000,3645,78,5,"Food",43.0731,-89.4012
20000,22308.03,447,19,"Food",40.65,-73.95
2800,3266,51,2,"Food",35.7721,-78.6386
888,891,24,2,"Food",40.7719,-73.9306
4000,4059,79,0,"Publishing",39.9523,-75.1638
1000,1345,31,9,"Games",27.9494,-82.4651
15000,285,6,0,"Music",34.0522,-118.244
12000,10237,337,38,"Games",44.0521,-123.087
500,635,10,2,"Comics",34.0522,-118.244
1000,70,4,0,"Film & Video",51.3219,-0.206845
8000,3488,46,0,"Music",30.2672,-97.7431
50000,256,12,0,"Theater",40.65,-73.95
10000,0,0,0,"Comics",36.1659,-86.7844
3000,32,5,1,"Games",42.3584,-71.0598
2012,295,3,0,"Art",29.9647,-90.0706
420,450,10,2,"Film & Video",41.85,-87.6501
50000,409371.2,2119,184,"Technology",59.3328,18.0645
4000,6597,179,0,"Design",33.4484,-112.074
50000,4047,44,2,"Design",37.7749,-122.419
75000,42998.2,581,65,"Design",40.015,-105.271
5000,4278,69,8,"Games",32.7153,-117.157
35000,13859,212,12,"Music",32.803,-96.7699
300,108,5,0,"Theater",20.9021,-156.226
300,237,16,1,"Art",40.7143,-74.006
15000,8761.55,69,1,"Art",42.3584,-71.0598
1250,1821.99,35,3,"Film & Video",40.65,-73.95
6125,6757,112,1,"Photography",40.7143,-74.006
2500,2786.61,127,13,"Music",36.1659,-86.7844
1500,1840,41,5,"Dance",41.85,-87.6501
10000,13099.73,224,23,"Music",0,0
1000,1121,21,3,"Film & Video",34.1511,-118.448
10000,60,2,0,"Art",32.7153,-117.157
1000,1768,77,11,"Music",37.3394,-121.895
5000,5242,67,0,"Dance",42.6334,-71.3162
25000,1350,19,0,"Film & Video",55.6934,12.583
28000,3459,39,4,"Photography",41.3114,-105.591
8000,8300,56,0,"Theater",40.1498,-77.1283
3000,4321.74,53,3,"Film & Video",40.7143,-74.006
18000,0,0,0,"Publishing",28.4789,-82.5478
20000,50,1,0,"Design",27.7823,-82.6676
1300,310,7,0,"Music",38.4399,-105.226
75000,0,0,0,"Film & Video",40.7498,-73.7976
120000,0,0,0,"Film & Video",40.7143,-74.006
2500,1230,17,3,"Dance",41.824,-71.4128
75000,164603,898,398,"Design",40.6461,-111.498
750,1015,37,3,"Music",39.3292,-82.1013
14760,451,5,0,"Food",45.3001,-122.973
20000,23968.5,337,27,"Music",35.7721,-78.6386
3500,53015,556,206,"Design",41.85,-87.6501
3300,3398,87,5,"Art",29.9647,-90.0706
5000,6060,81,8,"Food",41.8787,-71.3826
1000,1100,22,0,"Music",40.65,-73.95
5000,9847,49,26,"Design",41.254,-95.9993
5500,4411,62,3,"Technology",42.3584,-71.0598
2000,526,21,1,"Fashion",30.2672,-97.7431
500,70,2,0,"Music",41.0132,-74.2643
8500,405,10,0,"Music",41.85,-87.6501
3000,50,1,0,"Film & Video",29.7629,-95.3831
10000,10081,78,3,"Art",42.3223,-83.1763
5000,5048.01,50,2,"Food",30.2672,-97.7431
8000,8515,78,1,"Dance",37.8044,-122.271
10000,10600,54,3,"Film & Video",34.0522,-118.244
4500,9375,102,1,"Film & Video",34.448,-119.243
6000,6415,28,0,"Film & Video",40.7143,-74.006
5000,105,4,0,"Music",42.2709,-83.7263
15000,18662,210,3,"Photography",15.66,43.94
170000,1665,12,0,"Film & Video",39.7684,-86.158
2300,3170,64,0,"Music",40.65,-73.95
600,716.39,29,1,"Art",0,0
1100,1130,34,7,"Music",39.7392,-104.985
2500,3000,73,2,"Music",44.1003,-70.2148
8000,10696,196,8,"Food",42.2709,-83.7263
10000,10360,138,3,"Food",42.2709,-83.7263
1200,1930,37,2,"Music",41.6022,-72.9872
2000,2074.5,39,3,"Theater",40.65,-73.95
10000,11087,123,10,"Film & Video",32.7254,-97.3208
3000,933,21,0,"Technology",40.7608,-111.891
3500,6396,153,5,"Publishing",40.65,-73.95
34000,703,16,4,"Technology",41.6998,-72.157
5000,350,7,4,"Technology",39.3151,-84.2208
4500,14827,215,17,"Technology",40.3141,-112.007
2500,0,0,0,"Games",40.7143,-74.006
4200,5156,92,10,"Technology",37.6688,-122.081
10000,16381,50,10,"Technology",42.9956,-71.4548
30000,560,6,0,"Music",41.8997,-87.6502
5000,313218.15,5964,657,"Technology",45.5235,-122.676
13000,168267.01,861,278,"Technology",42.3584,-71.0598
32768,43871,353,60,"Technology",53.4138,-1.4258
125000,60512.98,1755,250,"Games",47.674,-122.122
3000,490,8,0,"Food",32.2217,-110.926
100000,345,20,5,"Games",44.4759,-73.2121
12000,2086,35,0,"Comics",27.7029,85.3182
5000,7265,79,4,"Design",37.7749,-122.419
9800,328,5,2,"Comics",41.824,-71.4128
3500,1271,22,0,"Publishing",41.4995,-81.6954
35000,188.41,11,3,"Games",52.2871,0.125577
1500,580,8,0,"Music",41.85,-87.6501
25000,32549.25,332,13,"Film & Video",40.7608,-111.891
50000,0,0,0,"Film & Video",30.4507,-91.1545
100000,64030.05,1266,25,"Film & Video",40.7143,-74.006
25000,34041.83,602,165,"Games",33.7092,-117.954
15000,22049,543,73,"Games",39.2616,-121.016
80000,72463.02,853,6,"Film & Video",38.9517,-92.3341
3000,2562,88,3,"Music",32.0662,34.7778
50000,54012.76,702,55,"Film & Video",40.65,-73.95
3500,1305,29,0,"Music",47.6588,-117.426
10500,982,25,0,"Games",43.4666,-112.034
5000,5261,93,0,"Film & Video",34.0522,-118.244
6000,7350,78,11,"Art",42.2709,-83.7263
5000,5020,22,0,"Publishing",-34.6406,-58.4926
1200,1485,27,0,"Theater",41.85,-87.6501
2700,4679.48,150,14,"Publishing",51.5586,-0.197855
6000,6861,112,0,"Publishing",42.3251,-72.6412
3000,1,1,0,"Comics",37.7749,-122.419
1000,1051,22,0,"Art",34.0522,-118.244
7777,9898,128,11,"Publishing",45.5235,-122.676
2500,2700.01,34,0,"Music",32.2217,-110.926
10000,411,11,0,"Film & Video",40.7143,-74.006
1000,1285.12,66,2,"Comics",40.7498,-73.7976
15000,3090,164,15,"Games",43.1548,-77.6156
350,384,9,0,"Art",33.4942,-111.926
2500,1760,26,1,"Art",42.3584,-71.0598
20000,80,3,0,"Art",51.5586,-0.197855
2000,625,17,0,"Theater",41.824,-71.4128
800,6414,114,49,"Games",47.8107,-122.377
50000,35,2,0,"Music",35.1495,-90.049
1000,337,5,0,"Film & Video",38.5816,-121.494
1500,1551,19,2,"Music",41.8997,-87.6502
5500,11001,66,6,"Film & Video",34.0522,-118.244
10000,12737,126,1,"Film & Video",42.2709,-83.7263
6000,6241,67,0,"Film & Video",40.7143,-74.006
125,130.16,10,0,"Music",41.0405,-73.7145
8800,8840,89,3,"Music",39.0997,-94.5786
700,1103,30,0,"Music",40.9633,-74.3037
3000,3000,30,0,"Film & Video",40.7608,-111.891
1500,1793,31,0,"Film & Video",0,0
75000,75218,260,10,"Film & Video",34.7465,-92.2896
2500,0,0,0,"Fashion",34.0522,-118.244
1300,1790.1,68,5,"Art",0,0
850,930,27,0,"Art",42.2709,-83.7263
2300,2601,87,0,"Music",37.7749,-122.419
9300,10120,96,4,"Music",52.5234,13.4114
600,710,25,0,"Art",35.222,-101.831
1500,1660,40,5,"Music",42.9337,-72.2781
2000,2155,23,0,"Music",44.98,-93.2638
1000,1065,21,1,"Publishing",36.3096,-81.5954
45000,46022.01,244,4,"Theater",40.7143,-74.006
5000,6275,104,7,"Publishing",40.7834,-73.9662
6500,10055,94,4,"Music",45.5235,-122.676
25000,25202.25,95,1,"Music",41.3973,-73.6171
7500,8755.01,84,0,"Theater",55.7558,37.6176
1000,1015,15,0,"Art",38.88,-77.1068
2000,2000,40,2,"Film & Video",32.7766,-79.9309
2000,2099,31,4,"Theater",40.7143,-74.006
1750,1885,20,0,"Art",34.0522,-118.244
2500,2663.37,66,4,"Theater",44.98,-93.2638
20000,21025.01,234,42,"Music",40.65,-73.95
7000,7055,73,0,"Theater",40.7143,-74.006
4754.8,4755,17,2,"Food",38.88,-77.1068
500,659,27,0,"Art",33.4484,-112.074
6000,1095,28,5,"Games",33.7092,-117.954
4000,3591,64,0,"Film & Video",39.9523,-75.1638
40000,24317,95,33,"Games",40.115,-111.655
8500,825.35,22,0,"Comics",40.8559,-73.2007
3500,2500,36,2,"Fashion",40.7143,-74.006
6000,7013,191,21,"Design",32.7153,-117.157
7000,55,2,1,"Music",35.0845,-106.651
30000,126,2,0,"Games",37.7749,-122.419
5000,5914.42,147,10,"Publishing",37.3394,-121.895
8000,8727,147,17,"Film & Video",42.4734,-83.2219
75000,23511,483,4,"Music",34.0522,-118.244
14000,150,3,0,"Art",38.8339,-104.821
5000,850,15,0,"Music",38.647,-90.225
25000,21119,216,0,"Music",36.1726,-86.7597
25000,3397,59,0,"Film & Video",42.3314,-83.0458
1500,1500,16,0,"Publishing",34.0522,-118.244
75000,12736,55,1,"Technology",44.9442,-93.0861
40000,42748.26,556,164,"Design",38.0293,-78.4767
6000,6095.88,92,0,"Film & Video",28.5986,77.1849
2500,2745,34,0,"Film & Video",40.65,-73.95
500,500,12,0,"Film & Video",41.4995,-81.6954
1250,177.5,7,0,"Comics",41.85,-87.6501
5000,1185,25,42,"Games",41.7001,-71.4162
50000,51200.51,470,110,"Games",34.2856,-118.882
200000,13876,171,34,"Games",51.2772,-0.610235
57500,16777.05,586,79,"Games",40.7143,-74.006
1000,15196,694,38,"Design",39.203,-76.858
3500,3666,65,2,"Film & Video",37.8044,-122.271
50000,49643.58,1113,42,"Comics",37.7749,-122.419
10000,4795.67,68,3,"Theater",42.3584,-71.0598
8000,25895.11,800,8,"Art",41.85,-87.6501
12000,12853.41,198,6,"Art",29.4241,-98.4936
11000,44028.69,1488,87,"Games",41.85,-87.6501
5000,2086,48,4,"Music",40.65,-73.95
3000,831,29,1,"Music",45.5235,-122.676
18000,10961,88,0,"Music",37.7749,-122.419
18000,5222,46,0,"Games",34.0522,-118.244
13000,12845.11,49,0,"Music",40.7143,-74.006
24250,10070,50,0,"Music",36.1659,-86.7844
30000,6,2,0,"Games",37.8044,-122.271
290000,53920,1086,236,"Games",32.7153,-117.157
7500,7759.5,118,0,"Comics",43.0389,-87.9065
5000,295,11,0,"Publishing",40.4198,-79.8501
2000,3285,54,4,"Film & Video",37.7749,-122.419
75000,160,6,0,"Games",34.0522,-118.244
800,800,16,0,"Music",30.2672,-97.7431
5000,5355,108,3,"Theater",43.6525,-79.3817
2000,2033,27,1,"Theater",31.7587,-106.487
600,600,14,2,"Art",38.0494,-122.159
3000,3280,35,2,"Music",35.0845,-106.651
1500,1530,26,3,"Music",40.7608,-111.891
500,731.89,22,0,"Music",32.7153,-117.157
500,585,24,1,"Music",41.6005,-93.6091
8000,0,0,0,"Music",43.1548,-77.6156
3500,136,4,0,"Art",59.3328,18.0645
15000,50,1,1,"Music",34.1511,-118.448
10000,14145,81,0,"Film & Video",37.3394,-121.895
2500,2770,39,3,"Music",42.3584,-71.0598
17000,25,2,0,"Music",43.1548,-77.6156
1500,1660,27,24,"Games",42.3584,-71.0598
4000,1212,24,3,"Music",36.154,-95.9928
20000,435,10,0,"Film & Video",0,0
5000,1207.25,19,0,"Photography",27.9419,96.1349
7000,397,11,0,"Games",42.3584,-71.0598
6000,50,2,0,"Technology",0,0
50000,70,4,2,"Comics",29.7629,-95.3831
2000,2000,46,3,"Film & Video",42.3584,-71.0598
8000,13641.22,274,35,"Music",41.3462,-73.079
5000,5831,42,1,"Film & Video",34.0522,-118.244
1800,2087,53,7,"Music",41.3462,-73.079
15000,16331.5,210,10,"Music",41.85,-87.6501
22000,7140,27,6,"Music",36.1659,-86.7844
500000,50,1,0,"Film & Video",40.2204,-74.0121
10000,25,1,0,"Film & Video",45.6387,-122.661
10500,1615,14,0,"Film & Video",40.2204,-74.0121
15000,100,2,0,"Theater",40.7143,-74.006
3000,1085,17,0,"Music",40.2204,-74.0121
10000,2296.62,31,0,"Art",40.7719,-73.9306
50000,29871,313,4,"Food",37.7749,-122.419
80000,52577,349,0,"Theater",40.4233,-104.709
1500,685,10,0,"Music",38.5816,-121.494
5000,5031,53,0,"Music",34.0522,-118.244
1000,1123,27,0,"Music",43.6137,-116.238
5000,5454,82,0,"Film & Video",64.1353,-21.8952
350,360,12,0,"Music",40.3166,-77.0219
8000,8510,103,0,"Theater",40.7143,-74.006
998,1583,26,0,"Theater",41.824,-71.4128
8008,8724,310,23,"Music",40.015,-105.271
400,1085,47,3,"Music",34.0522,-118.244
1000,2101.28,39,0,"Music",28.0395,-81.9498
200,685,15,6,"Art",26.2379,-80.1248
5000,905,13,0,"Art",5.10506,-1.24723
4444,4999,59,4,"Music",40.7143,-74.006
10000,11073,204,14,"Film & Video",40.7143,-74.006
5000,5702.42,105,12,"Film & Video",35.0845,-106.651
1500,1513,27,0,"Music",38.5816,-121.494
7000,7170,144,8,"Theater",38.9284,-77.056
10000,14075,66,0,"Food",37.7749,-122.419
30000,1675,9,1,"Photography",18.221,42.5035
500,880,44,1,"Film & Video",51.5586,-0.197855
33000,5587,68,0,"Food",40.7608,-111.891
3000,1838,29,0,"Music",42.5334,-83.1463
4500,690,13,0,"Theater",40.7143,-74.006
500,3307,151,13,"Film & Video",41.4489,-82.708
